open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year,day,day_of_week,quarter,dateClean
606.84,608.33,601.55,606.09,11599500.0,608.33,601.55,606.09,606.84,11613628.0,1.0,0.0,VOO,ARCX,2025-09-17T00:00:00+0000,9,2025,17,2,3,2025-09-17
608.16,608.42,606.06,606.79,6382200.0,608.42,606.0609,606.79,608.16,6393185.0,1.0,0.0,VOO,ARCX,2025-09-16T00:00:00+0000,9,2025,16,1,3,2025-09-16
606.47,607.77,606.2,607.59,7705000.0,607.77,606.2,607.59,606.47,7710693.0,1.0,0.0,VOO,ARCX,2025-09-15T00:00:00+0000,9,2025,15,0,3,2025-09-15
604.59,605.98,603.95,604.44,8124900.0,605.98,603.95,604.44,604.59,8130498.0,1.0,0.0,VOO,ARCX,2025-09-12T00:00:00+0000,9,2025,12,4,3,2025-09-12
601.43,605.23,600.89,604.57,9101200.0,605.23,600.89,604.57,601.43,9109717.0,1.0,0.0,VOO,ARCX,2025-09-11T00:00:00+0000,9,2025,11,3,3,2025-09-11
600.92,601.75,598.16,599.68,21625400.0,601.75,598.16,599.68,600.92,21641066.0,1.0,0.0,VOO,ARCX,2025-09-10T00:00:00+0000,9,2025,10,2,3,2025-09-10
596.61,598.37,595.01,597.95,7831900.0,598.37,595.01,597.95,596.61,7844787.0,1.0,0.0,VOO,ARCX,2025-09-09T00:00:00+0000,9,2025,9,1,3,2025-09-09
596.31,597.41,595.03,596.5,9465000.0,597.41,595.03,596.5,596.31,9472235.0,1.0,0.0,VOO,ARCX,2025-09-08T00:00:00+0000,9,2025,8,0,3,2025-09-08
598.91,599.6,591.45,594.96,6631000.0,599.6,591.45,594.96,598.91,6641512.0,1.0,0.0,VOO,ARCX,2025-09-05T00:00:00+0000,9,2025,5,4,3,2025-09-05
592.47,596.77,591.6,596.59,8035900.0,596.77,591.6,596.59,592.47,8045575.0,1.0,0.0,VOO,ARCX,2025-09-04T00:00:00+0000,9,2025,4,3,3,2025-09-04
