open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
586.04,586.5,584.24,585.44,4187000.0,586.5,584.24,585.44,586.04,4193101.0,1.0,0.0,VOO,ARCX,7,2025,28,0,3,2025-07-28,-0.10238208995971419,0
583.81,586.04,583.59,585.58,4204800.0,586.04,583.59,585.58,583.81,4210090.0,1.0,0.0,VOO,ARCX,7,2025,25,4,3,2025-07-25,0.30318082937943774,1
583.34,584.6999,582.79,583.26,3799647.0,584.75,582.72,583.26,583.34,3840901.0,1.0,0.0,VOO,ARCX,7,2025,24,3,3,2025-07-24,-0.013714128981390085,0
580.57,582.9498,578.877,582.86,4197525.0,582.96,578.87,582.86,580.57,4257345.0,1.0,0.0,VOO,ARCX,7,2025,23,2,3,2025-07-23,0.39443994694868206,1
578.28,578.84,575.64,577.95,4757100.0,578.84,575.64,577.95,578.28,4767703.0,1.0,0.0,VOO,ARCX,7,2025,22,1,3,2025-07-22,-0.05706578128241117,0
577.98,580.53,577.59,577.95,5553213.0,580.53,577.59,577.95,577.98,5913837.0,1.0,0.0,VOO,ARCX,7,2025,21,0,3,2025-07-21,-0.005190491020445814,0
578.47,578.5,575.84,576.92,4256200.0,578.5,575.84,576.92,578.47,4262378.0,1.0,0.0,VOO,ARCX,7,2025,18,4,3,2025-07-18,-0.26794820820441306,0
574.02,577.65,573.8,577.18,6460700.0,577.65,573.8,577.18,574.02,6495346.0,1.0,0.0,VOO,ARCX,7,2025,17,3,3,2025-07-17,0.5505034667781555,1
573.4,574.2575,568.2,573.74,6125770.0,574.26,568.17,573.74,573.4,6141184.0,1.0,0.0,VOO,ARCX,7,2025,16,2,3,2025-07-16,0.05929543076387022,0
576.85,577.16,571.85,571.86,5355161.0,577.16,571.85,571.86,576.85,5398956.0,1.0,0.0,VOO,ARCX,7,2025,15,1,3,2025-07-15,-0.86504290543469,0
572.85,574.68,571.58,574.35,4737700.0,574.679,571.58,574.35,572.85,4747041.0,1.0,0.0,VOO,ARCX,7,2025,14,0,3,2025-07-14,0.26184865147944486,1
572.45,574.38,571.37,573.22,4425200.0,574.3757,571.37,573.22,572.45,4428852.0,1.0,0.0,VOO,ARCX,7,2025,11,4,3,2025-07-11,0.1345095641540714,0
573.78,576.26,572.7091,575.29,4930942.0,576.26,572.7,575.29,573.78,4961691.0,1.0,0.0,VOO,ARCX,7,2025,10,3,3,2025-07-10,0.2631670675171653,1
572.46,574.2469,570.76,573.61,5978493.0,574.26,570.76,573.61,572.46,7156477.0,1.0,0.0,VOO,ARCX,7,2025,9,2,3,2025-07-09,0.2008873982461617,0
571.15,571.83,569.48,570.23,6932200.0,571.83,569.48,570.23,571.15,6944624.0,1.0,0.0,VOO,ARCX,7,2025,8,1,3,2025-07-08,-0.16107852578131124,0
573.0,573.59,567.99,570.61,6193622.0,573.59,567.98,570.61,573.0,6417829.0,1.0,0.0,VOO,ARCX,7,2025,7,0,3,2025-07-07,-0.41710296684118436,0
572.18,575.67,572.13,575.22,4836962.0,575.67,572.13,575.22,572.18,4836962.0,1.0,0.0,VOO,ARCX,7,2025,3,3,3,2025-07-03,0.531301338739571,1
567.37,570.34,566.81,570.29,6164018.0,570.34,566.81,570.29,567.37,6164018.0,1.0,0.0,VOO,ARCX,7,2025,2,2,3,2025-07-02,0.5146553395491406,1
566.56,568.8,565.8,567.77,7412742.0,568.8,565.8,567.77,566.56,7412742.0,1.0,0.0,VOO,ARCX,7,2025,1,1,3,2025-07-01,0.2135696131036495,0
567.5,569.15,565.375,568.03,5750571.0,569.15,565.375,568.03,567.5,5750571.0,1.0,1.74,VOO,ARCX,6,2025,30,0,2,2025-06-30,0.09339207048457669,0
565.11,568.33,563.21,566.95,6026200.0,568.33,563.21,566.95,565.11,6056524.0,1.0,0.0,VOO,ARCX,6,2025,27,4,2,2025-06-27,0.3256003256003312,1
561.52,564.55,560.97,564.15,5848203.0,564.55,560.96,564.15,561.52,6081444.0,1.0,0.0,VOO,ARCX,6,2025,26,3,2,2025-06-26,0.4683715629006973,1
560.52,561.02,558.34,559.72,16457700.0,561.02,558.34,559.72,560.52,16472305.0,1.0,0.0,VOO,ARCX,6,2025,25,2,2,2025-06-25,-0.14272461285947952,0
